"Table S1 Complete dataset used from train and validated machine learning methods, which are collected from literature data. ",,,,,,,,,,,,,,,,
Citation,Sample Name,Tectonic Setting,,Latitude ,Longitude ,Rock Name,Rock Type,P,Ti,Y,Nb,Dy,Yb,U,Hf,Th
[13876] ZHANG SHUAN-HONG (2009),samp. 08093-1,Intraplate Volcanics,Plate Tectonic,41.4118,120.3067,Diabase,Mafic,1993.947318,4.369625581,8915.335041,4.973447099,800.1954777,1674.590281,1146.039207,13716.97901,1862.830372
[13876] ZHANG SHUAN-HONG (2009),samp. 08093-1,Intraplate Volcanics,Plate Tectonic,41.4118,120.3067,Diabase,Mafic,1242.648748,13.32990356,6196.178752,8.537505945,629.5672351,1333.118513,2456.723392,9226.009812,16077.5029
[13876] ZHANG SHUAN-HONG (2009),samp. 08093-1,Intraplate Volcanics,Plate Tectonic,41.4118,120.3067,Diabase,Mafic,927.3166954,5.169994745,5205.136161,3.504682893,476.7488219,982.8965789,451.5878688,8517.894929,727.2103604
[13876] ZHANG SHUAN-HONG (2009),samp. 08093-1,Intraplate Volcanics,Plate Tectonic,41.4118,120.3067,Diabase,Mafic,1377.348494,7.052657055,7628.592515,6.098080897,722.3620678,1447.824423,767.9652619,8326.078204,1350.02954
[13876] ZHANG SHUAN-HONG (2009),samp. 08093-1,Intraplate Volcanics,Plate Tectonic,41.4118,120.3067,Diabase,Mafic,650.5938916,2.92508849,8940.148308,2.622900735,766.4032534,1838.515551,1836.10516,8687.294428,3510.219536
[15798] STELTEN M. E. (2012),samp. RM (08DH-21),Convergent Margin,Plate Tectonic,44.05579,-121.78222,Rhyolite,Felsic,626.0503339,6.790539696,981.4026747,1.824179334,102.688547,407.2166485,178.0850729,9472.700894,69.39341129
[15798] STELTEN M. E. (2012),samp. RM (08DH-21),Convergent Margin,Plate Tectonic,44.05579,-121.78222,Rhyolite,Felsic,579.2772598,10.78074369,1664.488442,2.69299755,164.9192268,604.9865509,294.7713792,8345.619713,183.2651003
[15798] STELTEN M. E. (2012),samp. RM (08DH-21),Convergent Margin,Plate Tectonic,44.05579,-121.78222,Rhyolite,Felsic,429.420636,11.36374147,1559.427721,5.46358864,147.9012999,559.9457104,242.2469022,10005.18252,112.1185976
[15798] STELTEN M. E. (2012),samp. RM (08DH-21),Convergent Margin,Plate Tectonic,44.05579,-121.78222,Rhyolite,Felsic,547.0361235,8.192585698,1224.395244,3.201145852,123.1931441,515.0578698,172.9642406,9741.667398,61.81606398
[15798] STELTEN M. E. (2012),samp. RM (08DH-21),Convergent Margin,Plate Tectonic,44.05579,-121.78222,Rhyolite,Felsic,238.9061343,6.266885482,684.8230347,1.317112381,70.88524403,272.3965055,114.100228,10569.95756,42.04130567
[15798] STELTEN M. E. (2012),samp. RM (08DH-21),Convergent Margin,Plate Tectonic,44.05579,-121.78222,Rhyolite,Felsic,704.1117518,6.724551021,2133.592568,6.278783579,183.7187942,754.6635545,483.3055991,10868.59768,300.6699982
[15798] STELTEN M. E. (2012),samp. RM (08DH-21),Convergent Margin,Plate Tectonic,44.05579,-121.78222,Rhyolite,Felsic,624.3092565,7.419940169,2709.360623,17.94185395,293.9233434,1043.061357,1219.810049,11010.54993,818.6942254
[15798] STELTEN M. E. (2012),samp. RM (08DH-21),Convergent Margin,Plate Tectonic,44.05579,-121.78222,Rhyolite,Felsic,288.5958962,9.43699218,830.3415252,2.608260257,76.65149208,343.9876766,131.3576614,9801.430819,48.78123078
[15798] STELTEN M. E. (2012),samp. RM (08DH-21),Convergent Margin,Plate Tectonic,44.05579,-121.78222,Rhyolite,Felsic,269.6670976,10.34493436,1491.515693,1.754259123,184.3369474,500.4060614,144.3590609,9395.144629,85.91011816
[15798] STELTEN M. E. (2012),samp. RM (08DH-21),Convergent Margin,Plate Tectonic,44.05579,-121.78222,Rhyolite,Felsic,325.2386581,11.22069655,1353.079232,1.621047237,156.546501,458.2544978,124.7876382,9599.956621,67.338998
[15798] STELTEN M. E. (2012),samp. RM (08DH-21),Convergent Margin,Plate Tectonic,44.05579,-121.78222,Rhyolite,Felsic,323.2241473,11.52809374,1804.673597,1.808680616,205.9470821,610.3865438,223.1035409,9440.093142,155.4718083
[15798] STELTEN M. E. (2012),samp. RM (08DH-21),Convergent Margin,Plate Tectonic,44.05579,-121.78222,Rhyolite,Felsic,458.5328835,10.38676339,1708.626065,6.498608737,150.0504136,642.6521888,330.7240253,9708.233046,149.7556731
[15798] STELTEN M. E. (2012),samp. RM (08DH-21),Convergent Margin,Plate Tectonic,44.05579,-121.78222,Rhyolite,Felsic,523.3817301,11.21746348,2270.105882,9.493121585,210.8172314,773.8269887,526.8188015,10216.79335,349.1667305
[15798] STELTEN M. E. (2012),samp. RM (08DH-21),Convergent Margin,Plate Tectonic,44.05579,-121.78222,Rhyolite,Felsic,713.0899216,2.852330926,1323.83362,4.746531244,130.4048806,603.3081547,357.5681233,10277.13959,104.5927279
[15798] STELTEN M. E. (2012),samp. RM (08DH-21),Convergent Margin,Plate Tectonic,44.05579,-121.78222,Rhyolite,Felsic,400.8520873,10.19898697,1324.379705,6.17674421,144.3547952,581.2196383,527.3047124,10328.119,319.5797244
[15798] STELTEN M. E. (2012),samp. RM (08DH-21),Convergent Margin,Plate Tectonic,44.05579,-121.78222,Rhyolite,Felsic,483.6374139,10.42564964,2105.254205,6.155619474,182.8601624,751.346549,355.3615842,10250.55283,191.949014
[15798] STELTEN M. E. (2012),samp. RM (08DH-21),Convergent Margin,Plate Tectonic,44.05579,-121.78222,Rhyolite,Felsic,475.5219899,9.770767449,2806.749029,4.51560615,301.0652249,999.6898194,445.8987056,9171.053601,249.7503913
[15798] STELTEN M. E. (2012),samp. RM (08DH-21),Convergent Margin,Plate Tectonic,44.05579,-121.78222,Rhyolite,Felsic,472.0053316,9.344411145,2047.5091,9.733151216,184.9810645,745.9678349,404.1653623,10261.52489,217.9981634
[15798] STELTEN M. E. (2012),samp. RM (08DH-21),Convergent Margin,Plate Tectonic,44.05579,-121.78222,Rhyolite,Felsic,403.9755614,3.972247092,1203.60954,3.315779116,137.5909318,471.0000164,305.2651673,12095.05363,125.5430369
[15798] STELTEN M. E. (2012),samp. DH-1 (08DH-15),Convergent Margin,Plate Tectonic,44.01958,-121.75295,Rhyolite,Felsic,679.8649295,6.851039359,1304.473616,9.05235655,115.2169569,474.2593676,205.7525426,8497.780446,90.28932007
[15798] STELTEN M. E. (2012),samp. DH-1 (08DH-15),Convergent Margin,Plate Tectonic,44.01958,-121.75295,Rhyolite,Felsic,545.0367563,13.85600667,2587.031644,18.1422876,231.4216028,838.8748412,492.8682482,8944.256924,348.8330243
[15798] STELTEN M. E. (2012),samp. DH-1 (08DH-15),Convergent Margin,Plate Tectonic,44.01958,-121.75295,Rhyolite,Felsic,399.9442112,6.02175207,856.8118767,10.07757533,71.51747654,312.4360214,163.2081081,9422.102169,65.31575327
[15798] STELTEN M. E. (2012),samp. DH-1 (08DH-15),Convergent Margin,Plate Tectonic,44.01958,-121.75295,Rhyolite,Felsic,654.7319583,16.87505272,2486.223653,21.09504428,248.5661882,771.4725769,482.2270677,8918.709879,605.4241485
[15798] STELTEN M. E. (2012),samp. DH-1 (08DH-15),Convergent Margin,Plate Tectonic,44.01958,-121.75295,Rhyolite,Felsic,310.0159249,10.16666158,1028.400506,11.12189978,105.7628811,387.3293964,108.4173389,9324.662577,51.86856306
[15798] STELTEN M. E. (2012),samp. DH-1 (08DH-15),Convergent Margin,Plate Tectonic,44.01958,-121.75295,Rhyolite,Felsic,296.5378785,15.86699258,618.9282718,9.209370713,54.89342256,248.6217384,58.89911155,8035.644434,22.56113546
[15798] STELTEN M. E. (2012),samp. DH-1 (08DH-15),Convergent Margin,Plate Tectonic,44.01958,-121.75295,Rhyolite,Felsic,86.72611119,5.594873483,150.1627632,8.892786842,11.23158615,66.03295906,56.99056526,10049.62227,14.87478081
[15798] STELTEN M. E. (2012),samp. DH-1 (08DH-15),Convergent Margin,Plate Tectonic,44.01958,-121.75295,Rhyolite,Felsic,355.009109,10.17486531,1803.919449,22.64764944,188.6271681,547.1835737,99.94022327,8812.219167,48.35222823
[15798] STELTEN M. E. (2012),samp. DH-1 (08DH-15),Convergent Margin,Plate Tectonic,44.01958,-121.75295,Rhyolite,Felsic,252.8594192,10.24112602,1331.368714,7.02261597,129.4667648,392.7573344,68.94296561,9387.16553,29.41470353
[15798] STELTEN M. E. (2012),samp. DH-1 (08DH-15),Convergent Margin,Plate Tectonic,44.01958,-121.75295,Rhyolite,Felsic,664.4852605,8.785858014,2508.643049,24.78118128,236.3047613,763.2736494,917.4916572,10885.4484,911.7468613
[15798] STELTEN M. E. (2012),samp. DH-1 (08DH-15),Convergent Margin,Plate Tectonic,44.01958,-121.75295,Rhyolite,Felsic,181.0874704,25.04983535,418.8026834,17.99702189,44.90746199,113.6261541,81.72349384,9777.589631,72.48139254
